File,Modality,Shape,Resolution (mm),Orientation
ms-multi-spine-challenge-2024/sub-028/anat/sub-028_T2w.nii.gz,T2,"(13, 512, 512)","(np.float32(3.3), np.float32(0.5859375), np.float32(0.5859375))","('L', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-028/anat/sub-028_STIR.nii.gz,STIR,"(13, 256, 336)","(np.float32(3.3), np.float32(0.859375), np.float32(0.859375))","('L', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-020/anat/sub-020_STIR.nii.gz,STIR,"(1024, 1024, 15)","(np.float32(0.3555), np.float32(0.3555), np.float32(3.2999995))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-020/anat/sub-020_T2w.nii.gz,T2,"(512, 512, 15)","(np.float32(0.6602), np.float32(0.6602), np.float32(3.3000033))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-032/anat/sub-032_T2w.nii.gz,T2,"(13, 512, 512)","(np.float32(3.0), np.float32(0.5859375), np.float32(0.5859375))","('L', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-032/anat/sub-032_STIR.nii.gz,STIR,"(13, 256, 336)","(np.float32(3.3), np.float32(0.859375), np.float32(0.859375))","('L', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-048/anat/sub-048_STIR.nii.gz,STIR,"(384, 384, 9)","(np.float32(0.7291667), np.float32(0.7291667), np.float32(3.8500001))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-048/anat/sub-048_T2w.nii.gz,T2,"(384, 384, 11)","(np.float32(0.7291667), np.float32(0.7291667), np.float32(3.8499997))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-038/anat/sub-038_T2w.nii.gz,T2,"(13, 704, 704)","(np.float32(3.3), np.float32(0.42857143), np.float32(0.42857143))","('L', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-038/anat/sub-038_STIR.nii.gz,STIR,"(13, 640, 640)","(np.float32(3.3), np.float32(0.5), np.float32(0.5))","('L', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-099/anat/sub-099_MP2RAGE.nii.gz,MP2RAGE,"(176, 260, 200)","(np.float32(1.0), np.float32(0.9375), np.float32(0.9375))","('R', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-099/anat/sub-099_T2w.nii.gz,T2,"(512, 512, 17)","(np.float32(0.488281), np.float32(0.488281), np.float32(2.75))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-089/anat/sub-089_MP2RAGE.nii.gz,MP2RAGE,"(176, 260, 180)","(np.float32(1.0), np.float32(0.9375), np.float32(0.9375))","('R', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-089/anat/sub-089_T2w.nii.gz,T2,"(512, 512, 17)","(np.float32(0.48828125), np.float32(0.48828125), np.float32(2.75))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-057/anat/sub-057_T2w.nii.gz,T2,"(768, 1104, 15)","(np.float32(0.33854166), np.float32(0.33854166), np.float32(3.3))","('P', 'S', 'L')"
ms-multi-spine-challenge-2024/sub-057/anat/sub-057_PSIR.nii.gz,PSIR,"(640, 640, 15)","(np.float32(0.34375), np.float32(0.34375), np.float32(3.15))","('P', 'S', 'L')"
ms-multi-spine-challenge-2024/sub-013/anat/sub-013_T2w.nii.gz,T2,"(864, 864, 17)","(np.float32(0.41666666), np.float32(0.41666666), np.float32(2.9999983))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-013/anat/sub-013_STIR.nii.gz,STIR,"(576, 576, 17)","(np.float32(0.60096157), np.float32(0.60096157), np.float32(2.9999983))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-060/anat/sub-060_T2w.nii.gz,T2,"(768, 1104, 15)","(np.float32(0.33854166), np.float32(0.33854166), np.float32(3.3))","('P', 'S', 'L')"
ms-multi-spine-challenge-2024/sub-060/anat/sub-060_PSIR.nii.gz,PSIR,"(640, 640, 15)","(np.float32(0.34375), np.float32(0.34375), np.float32(3.15))","('P', 'S', 'L')"
ms-multi-spine-challenge-2024/sub-010/anat/sub-010_T2w.nii.gz,T2,"(512, 512, 13)","(np.float32(0.5859375), np.float32(0.5859375), np.float32(3.2997475))","('P', 'I', 'R')"
ms-multi-spine-challenge-2024/sub-010/anat/sub-010_STIR.nii.gz,STIR,"(256, 336, 13)","(np.float32(0.859375), np.float32(0.859375), np.float32(3.2997494))","('P', 'I', 'R')"
ms-multi-spine-challenge-2024/sub-070/anat/sub-070_PSIR.nii.gz,PSIR,"(768, 541, 15)","(np.float32(0.5598371), np.float32(0.5598371), np.float32(3.3))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-070/anat/sub-070_T2w.nii.gz,T2,"(784, 784, 15)","(np.float32(0.5188679), np.float32(0.5188679), np.float32(3.0))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-081/anat/sub-081_MP2RAGE.nii.gz,MP2RAGE,"(176, 260, 170)","(np.float32(1.0), np.float32(0.9375), np.float32(0.9375))","('R', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-081/anat/sub-081_T2w.nii.gz,T2,"(512, 512, 17)","(np.float32(0.48828125), np.float32(0.48828125), np.float32(2.75))","('P', 'S', 'R')"
ms-multi-spine-challenge-2024/sub-035/anat/sub-035_T2w.nii.gz,T2,"(14, 512, 512)","(np.float32(3.6000013), np.float32(0.68360007), np.float32(0.6836))","('L', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-035/anat/sub-035_STIR.nii.gz,STIR,"(14, 512, 512)","(np.float32(3.6000595), np.float32(0.68359405), np.float32(0.683594))","('L', 'A', 'S')"
ms-multi-spine-challenge-2024/sub-091/anat/sub-091_T2w.nii.gz,T2,"(512, 512, 17)","(np.float32(0.48828125), np.float32(0.48828125), np.float32(2.75))","('P', 'S', 'R')"
